2024-10-09 09:09:56,977 ERROR: Exception on /login [POST] [in /Users/austinheywood/source/flask-auth-starter/venv/lib/python3.11/site-packages/flask/app.py:838]
Traceback (most recent call last):
  File "/Users/austinheywood/source/flask-auth-starter/venv/lib/python3.11/site-packages/flask/app.py", line 1473, in wsgi_app
    response = self.full_dispatch_request()
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/austinheywood/source/flask-auth-starter/venv/lib/python3.11/site-packages/flask/app.py", line 882, in full_dispatch_request
    rv = self.handle_user_exception(e)
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/austinheywood/source/flask-auth-starter/venv/lib/python3.11/site-packages/flask/app.py", line 880, in full_dispatch_request
    rv = self.dispatch_request()
         ^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/austinheywood/source/flask-auth-starter/venv/lib/python3.11/site-packages/flask/app.py", line 865, in dispatch_request
    return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)  # type: ignore[no-any-return]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/austinheywood/source/flask-auth-starter/app/auth/routes.py", line 57, in login
    if not next_page or urlparse(next_page).netloc != '':
                        ^^^^^^^^
NameError: name 'urlparse' is not defined
2024-10-09 09:11:14,753 INFO: Flask Auth Starter startup [in /Users/austinheywood/source/flask-auth-starter/app/__init__.py:60]
2024-10-09 09:11:46,201 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:11:58,367 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:00,162 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:00,181 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:01,771 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:02,856 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:05,424 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:06,994 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:08,481 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:09,685 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:23,226 DEBUG: User 2 org role: member [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:26,891 DEBUG: User 2 org role: member [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:33,161 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:36,071 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:36,080 DEBUG: User 1 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:12:39,787 DEBUG: User 2 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:13:16,264 DEBUG: User 2 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:13:18,976 DEBUG: User 2 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:13:20,487 DEBUG: User 2 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:13:23,551 DEBUG: User 2 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 09:13:24,667 DEBUG: User 2 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 20:27:49,045 DEBUG: User 2 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
2024-10-09 20:27:50,557 DEBUG: User 2 org role: admin [in /Users/austinheywood/source/flask-auth-starter/app/auth/routes.py:26]
